Sample	Total Reads After Trimming	Hisat2 Human Mapped Reads	Hisat2 Human Unmapped Reads	Hisat2 % Human Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Collection Date	Gender	Age
SRX8364414	658918	0	658918	0.00%	364189	364116	99.98%	1,757.0318X	1,074.9697X	59.9911	37.84%	0.0007	2020-04-07	-	-
SRX8237231	760402	0	760402	0.00%	255618	248267	97.12%	1,212.7017X	1,376.0721X	57.1023	38.06%	0.0014	2020-03-14	-	-
SRX8336057	786768	65459	721309	8.32%	563960	37989	6.74%	74.3264X	109.4396X	59.8853	39.12%	0.0019	2020-03-08	-	-
SRX8325440	230922	69	230853	0.03%	134604	134599	100%	449.3275X	225.1275X	59.9951	37.78%	0.0008	2020-04	-	-
SRX8336068	4449220	128137	4321083	2.88%	4370102	8543	0.2%	14.372X	156.0909X	10.8921	39.74%	0.0074	2020-03-05	-	-
SRX8055171	622648	0	622648	0.00%	328857	328788	99.98%	1,619.8412X	830.431X	59.9944	37.69%	0.0007	2020-03	-	-
SRX8171606	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8325827	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-31	-	-
SRX8173999	336286	0	336286	0.00%	145587	144374	99.17%	707.0108X	912.9099X	53.3787	37.9%	0.0011	2020-03-16	-	-
SRX8055185	345288	0	345288	0.00%	198033	197983	99.97%	975.153X	643.2139X	59.991	38%	0.0009	2020-03	-	-
SRX8237207	245532	0	245532	0.00%	163407	163392	99.99%	796.6074X	460.9692X	59.6769	38.1%	0.0014	2020-04-03	-	-
SRX8055178	315462	0	315462	0.00%	159997	159861	99.91%	789.2355X	601.2009X	59.9954	38%	0.0005	2020-03	-	-
SRX8173990	10250	129	10121	1.26%	6201	5935	95.71%	27.1393X	190.5059X	30.1915	37.02%	0.0013	2020-04-03	-	-
SRX8237238	294404	0	294404	0.00%	187923	187894	99.98%	929.3884X	655.8779X	59.9938	37.64%	0.0006	2020-04-06	-	-
SRX8173997	552964	0	552964	0.00%	288532	288484	99.98%	1,394.7675X	801.8454X	59.9853	38.08%	0.0014	2020-04-03	-	-
SRX8171608	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325829	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-31	-	-
SRX8336066	3836700	42203	3794497	1.10%	3797222	462	0.01%	0.8413X	10.867X	15.0148	41.2%	0.0014	2020-03-05	-	-
SRX8237200	330302	0	330302	0.00%	188409	188402	100%	929.3334X	563.9483X	59.6952	37.69%	0.0006	2020-03-28	-	-
SRX8133046	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325842	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-31	-	-
SRX8325425	259226	492	258734	0.19%	144268	144196	99.95%	481.5945X	222.028X	59.9926	37.78%	0.0008	2020-04	-	-
SRX8336032	1057752	25386	1032366	2.40%	221700	147596	66.57%	297.6391X	280.6022X	59.9363	38.98%	0.0022	2020-03-10	-	-
SRX8325845	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-26	-	-
SRX8133041	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325422	214716	3220	211496	1.50%	125166	124851	99.75%	416.9304X	198.4192X	59.9888	37.76%	0.0009	2020-04	-	-
SRX8336035	433390	95215	338175	21.97%	328415	11405	3.47%	17.6695X	167.1354X	27.4327	35.99%	0.0006	2020-03-10	-	-
SRX8237253	982550	0	982550	0.00%	420727	420540	99.96%	2,041.6469X	1,151.5043X	59.9872	37.98%	0.0009	2020-03-27	-	-
SRX8173595	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8325414	257404	51	257353	0.02%	147626	147610	99.99%	492.4336X	228.5325X	59.9948	37.81%	0.0007	2020-04	-	-
SRX8133048	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8133070	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8173592	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8325413	243690	73	243617	0.03%	139304	139292	99.99%	464.8916X	214.3662X	59.992	37.9%	0.0007	2020-04	-	-
SRX8378956	111492	245	111247	0.22%	60177	57696	95.88%	281.0527X	530.1568X	44.2086	38.85%	0.0014	2020-04-13	-	-
SRX8174058	-	-	-	-	-	-	-	-	-	-	-	-	2020-02-14	-	-
SRX8287880	513612	51	513561	0.01%	236723	236693	99.99%	1,154.3939X	858.5166X	59.9915	38.25%	0.0011	2020-04-15	-	-
SRX8287874	345728	0	345728	0.00%	187005	187000	100%	916.6044X	570.4747X	59.9915	37.98%	0.0009	2020-04-15	-	-
SRX8364397	604752	0	604752	0.00%	328314	328249	99.98%	1,605.1741X	994.9387X	59.9939	37.76%	0.0007	2020-04-07	-	-
SRX8378969	11178	2696	8482	24.12%	7165	4977	69.46%	23.9138X	110.4296X	9.4705	39.9%	0.0065	2020-03-28	-	-
SRX8067730	318822	0	318822	0.00%	196980	196973	100%	926.5022X	557.9393X	59.9872	38.19%	0.0009	2020-03-30	-	-
SRX8287873	341054	0	341054	0.00%	193756	193751	100%	947.0677X	523.3406X	59.8939	37.99%	0.0008	2020-04-14	-	-
SRX8364390	385346	0	385346	0.00%	241698	241658	99.98%	1,184.5673X	815.7463X	59.9912	37.66%	0.0006	2020-04-07	-	-
SRX8287887	42228	1444	40784	3.42%	24507	23615	96.36%	112.2873X	361.1547X	16.0865	41.79%	0.0008	2020-04-07	-	-
SRX8378951	171060	34	171026	0.02%	110097	110065	99.97%	539.5808X	392.5309X	59.6969	38.27%	0.0013	2020-04-09	-	-
SRX8067737	698402	0	698402	0.00%	316019	315977	99.99%	1,492.4224X	1,072.8514X	59.9945	38.3%	0.0008	2020-03-20	-	-
SRX8287845	539930	215	539715	0.04%	236195	235681	99.78%	1,148.3869X	954.6446X	59.6928	38.45%	0.001	2020-04-07	-	-
SRX8084755	527178	0	527178	0.00%	266078	266028	99.98%	1,309.8563X	703.6905X	59.9602	37.93%	0.0007	2020-03-18	-	-
SRX8325134	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8378967	257464	0	257464	0.00%	152159	152159	100%	744.8105X	534.2236X	59.7283	38.13%	0.0013	2020-03-19	-	-
SRX8364399	217466	65	217401	0.03%	81752	81706	99.94%	398.7945X	851.7569X	37.6329	38.61%	0.0013	2020-04-09	-	-
SRX8378958	352920	35	352885	0.01%	207721	207415	99.85%	1,012.4493X	618.1425X	59.6858	37.98%	0.0014	2020-03-14	-	-
SRX8174056	-	-	-	-	-	-	-	-	-	-	-	-	2020-02-07	-	-
SRX8325133	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8378960	315196	31	315165	0.01%	175387	175265	99.93%	857.9611X	611.125X	59.664	38.38%	0.0015	2020-04-13	-	-
SRX8287842	286172	829	285343	0.29%	130123	129898	99.83%	627.0281X	832.9887X	50.501	38.71%	0.0017	2020-04-07	-	-
SRX8325158	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8174005	155982	0	155982	0.00%	81125	80661	99.43%	395.4873X	562.557X	46.4616	37.79%	0.0011	2020-03-16	-	-
SRX8052687	1404558	527551	877007	37.56%	15719	3358	21.36%	28.976X	89.0707X	14.8519	37.71%	0.0004	2019-01-19	-	-
SRX8378934	92236	0	92236	0.00%	58777	58773	99.99%	283.7823X	465.0168X	46.1647	39.05%	0.0011	2020-04-07	-	-
SRX8325399	227658	204	227454	0.09%	132620	132600	99.98%	442.986X	191.2289X	59.9962	37.78%	0.0007	2020-03	-	-
SRX8052680	1963854	356635	1607219	18.16%	39713	36072	90.83%	290.4763X	230.298X	57.9912	38.35%	0.0014	2019-01-19	-	-
SRX8174002	229878	0	229878	0.00%	129531	129374	99.88%	632.3059X	571.7865X	59.5447	38.06%	0.001	2020-03-15	-	-
SRX8378933	240760	0	240760	0.00%	129829	129829	100%	633.7761X	667.1532X	59.2438	38.09%	0.0013	2020-04-06	-	-
SRX8052689	1521300	1480681	40619	97.33%	20864	779	3.73%	0.6376X	5.6982X	9.4054	44.79%	0.0013	2019-01-19	-	-
SRX8325156	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8174033	694732	138	694594	0.02%	286227	281291	98.28%	1,341.7081X	1,171.9621X	59.3948	38.32%	0.0008	2020-04-02	-	-
SRX8325151	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8287843	522760	209	522551	0.04%	279224	279096	99.95%	1,366.0247X	820.9614X	59.993	37.89%	0.0009	2020-04-08	-	-
SRX8325132	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8378961	183732	73	183659	0.04%	121165	121129	99.97%	593.9557X	389.6611X	59.685	38.4%	0.0012	2020-04-13	-	-
SRX8325135	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8378966	272994	136	272858	0.05%	153183	152163	99.33%	743.0414X	619.0315X	59.6968	38.69%	0.0013	2020-04-13	-	-
SRX8287844	449916	4454	445462	0.99%	186726	181392	97.14%	888.0385X	913.8584X	58.9913	38.55%	0.0009	2020-04-08	-	-
SRX8084754	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-29	-	-
SRX8174057	846896	0	846896	0.00%	8380	8352	99.67%	56.7582X	40.7864X	59.9567	38.52%	0.0013	2020-02-07	-	-
SRX8378959	11040	308	10732	2.79%	10406	1184	11.38%	5.4601X	49.9117X	3.6103	34.97%	0.0008	2020-04-13	-	-
SRX8364398	390478	0	390478	0.00%	210283	210224	99.97%	1,029.7962X	742.8275X	59.9897	38.13%	0.001	2020-04-07	-	-
SRX8287886	519220	0	519220	0.00%	244195	244105	99.96%	1,188.7182X	845.2637X	59.6864	38.24%	0.0011	2020-04-08	-	-
SRX8378950	16036	763	15273	4.76%	10342	10304	99.63%	49.87X	199.5739X	13.9831	39.17%	0.0025	2020-04-09	-	-
SRX8067709	487518	0	487518	0.00%	227895	227894	100%	1,065.4906X	1,075.1083X	59.696	38.3%	0.0008	2020-03-13	-	-
SRX8287872	440268	0	440268	0.00%	243687	243669	99.99%	1,188.8548X	669.5853X	59.9907	37.89%	0.001	2020-04-15	-	-
SRX8364391	391618	0	391618	0.00%	208515	208471	99.98%	1,021.0224X	680.0952X	59.9905	38.03%	0.0009	2020-04-07	-	-
SRX8067736	618084	0	618084	0.00%	318751	318740	100%	1,509.0188X	865.7178X	59.9872	38.05%	0.0009	2020-03-20	-	-
SRX8287875	391294	156	391138	0.04%	212847	212810	99.98%	1,039.2728X	654.8489X	59.6925	38.02%	0.0008	2020-04-07	-	-
SRX8364396	563638	56	563582	0.01%	300644	300581	99.98%	1,476.6657X	822.3849X	59.8778	37.93%	0.0008	2020-04-07	-	-
SRX8174059	760212	0	760212	0.00%	7489	7482	99.91%	51.9936X	36.3993X	59.9694	38.58%	0.001	2020-02-14	-	-
SRX8378957	97874	127	97747	0.13%	68292	67244	98.47%	329.4499X	295.1214X	59.3909	38.34%	0.0014	2020-04-13	-	-
SRX8287881	581602	0	581602	0.00%	349868	349852	100%	1,721.0468X	1,206.2692X	59.9896	37.5%	0.001	2020-04-15	-	-
SRX8067731	334638	0	334638	0.00%	168713	168713	100%	813.9281X	720.7345X	59.6945	38.23%	0.0006	2020-03-14	-	-
SRX8378968	11874	161	11713	1.36%	8492	8444	99.43%	40.7469X	162.4098X	13.3815	37.52%	0.0017	2020-03-29	-	-
SRX8174032	259332	0	259332	0.00%	152718	152685	99.98%	750.6323X	492.4954X	59.8418	38.04%	0.001	2020-03-16	-	-
SRX8325150	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8325157	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8174003	195898	0	195898	0.00%	107016	106855	99.85%	525.0393X	546.8161X	59.2439	37.95%	0.001	2020-03-16	-	-
SRX7988130	-	-	-	-	-	-	-	-	-	-	-	-	2020-01-19	-	-
SRX8052681	1455032	175040	1279992	12.03%	25328	24052	94.96%	206.403X	155.9198X	57.3918	37.42%	0.0007	2019-01-19	-	-
SRX8325398	261936	209	261727	0.08%	147973	147902	99.95%	493.5121X	230.7132X	59.9898	37.82%	0.0008	2020-03	-	-
SRX8378932	16854	52	16802	0.31%	12967	12945	99.83%	62.3903X	149.4849X	29.4681	37.54%	0.0013	2020-04-04	-	-
SRX8052686	1809714	949375	860339	52.46%	31335	4249	13.56%	36.5036X	95.0686X	26.5518	37.48%	0.0006	2019-01-19	-	-
SRX8325159	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8174004	202036	0	202036	0.00%	125066	125059	99.99%	616.1407X	390.8669X	59.8439	38.01%	0.0009	2020-03-15	-	-
SRX8378935	25562	120	25442	0.47%	20256	20076	99.11%	97.3156X	177.6699X	35.9379	38.21%	0.0017	2020-04-07	-	-
SRX8173601	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8067717	235194	0	235194	0.00%	109247	109243	100%	495.5608X	809.7739X	41.79	38.46%	0.0007	2020-03-25	-	-
SRX8213955	253422	25	253397	0.01%	117473	117473	100%	392.1267X	423.767X	59.393	38.59%	0.0011	2020-04	-	-
SRX8378971	20538	18	20520	0.09%	16197	16189	99.95%	77.9231X	162.1563X	34.7344	39.8%	0.0012	2020-03-30	-	-
SRX8325122	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8287853	409086	40	409046	0.01%	188702	188291	99.78%	917.0092X	857.4239X	59.3853	38.19%	0.001	2020-04-07	-	-
SRX8067728	640854	0	640854	0.00%	275067	275066	100%	1,302.5807X	1,175.1553X	59.6879	38.31%	0.0011	2020-03-26	-	-
SRX8364388	691780	138	691642	0.02%	400323	400203	99.97%	1,974.5664X	1,133.413X	59.9946	37.68%	0.0007	2020-04-07	-	-
SRX8067710	955492	0	955492	0.00%	252805	252800	100%	1,227.1338X	1,770.7421X	51.2718	38.89%	0.0011	2020-03-12	-	-
SRX8378949	201520	20	201500	0.01%	128596	128596	100%	630.4006X	440.463X	59.9924	38.23%	0.0013	2020-04-09	-	-
SRX8173606	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8287854	378844	0	378844	0.00%	211793	211752	99.98%	1,039.1724X	629.8032X	59.6924	37.84%	0.0009	2020-04-09	-	-
SRX8325125	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8067726	396434	0	396434	0.00%	249046	248945	99.96%	1,217.7376X	672.3421X	59.9953	37.84%	0.0006	2020-03-27	-	-
SRX8213964	414712	41	414671	0.01%	201680	201680	100%	673.026X	295.0067X	59.9877	37.76%	0.0009	2020-04	-	-
SRX8287862	400236	120	400116	0.03%	220989	220957	99.99%	1,081.8291X	619.5355X	59.6944	37.87%	0.0009	2020-04-15	-	-
SRX8067719	658248	0	658248	0.00%	270462	270462	100%	1,276.967X	1,242.5808X	59.6973	38.47%	0.0007	2020-03-25	-	-
SRX8378940	146374	14	146360	0.01%	93761	93755	99.99%	459.1301X	382.7474X	59.6948	38.3%	0.0011	2020-04-07	-	-
SRX8213963	389126	38	389088	0.01%	197265	197265	100%	658.1924X	292.2947X	59.9907	37.81%	0.001	2020-04	-	-
SRX8067721	384822	0	384822	0.00%	231154	231145	100%	1,138.5388X	757.8669X	59.9888	38%	0.0006	2020-03-14	-	-
SRX8173608	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8378947	190838	0	190838	0.00%	117521	117513	99.99%	575.1532X	480.8926X	59.3853	38.17%	0.0014	2020-03-14	-	-
SRX8364386	402024	0	402024	0.00%	244802	244760	99.98%	1,201.7634X	762.8891X	59.9959	37.69%	0.0007	2020-04-07	-	-
SRX8287865	463368	46	463322	0.01%	234024	234009	99.99%	1,145.3218X	651.9337X	59.8443	38.01%	0.0008	2020-04-15	-	-
SRX8325140	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8174022	318030	31	317999	0.01%	186088	185766	99.83%	898.1332X	607.6203X	59.6856	38.21%	0.0008	2020-03-30	-	-
SRX8052698	1894692	68019	1826673	3.59%	51763	50855	98.25%	331.6769X	447.9542X	59.8256	38.1%	0.0017	2019-01-19	-	-
SRX8325147	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8174025	194008	1649	192359	0.85%	82301	80223	97.48%	390.0601X	810.6639X	43.6058	38.61%	0.0011	2020-04-01	-	-
SRX8264265	2324276	0	2324276	0.00%	27039	27016	99.91%	72.1012X	806.5982X	59.9679	39.22%	0.0021	20-Mar-2020	-	-
SRX8155156	1540414	154	1540260	0.01%	923260	758379	82.14%	3,756.6846X	4,897.2611X	34.7668	38.55%	0.0023	02-Apr-2020	-	4 years
SRX8052691	1866902	1795959	70943	96.20%	20507	1224	5.97%	1.6119X	7.6304X	33.6467	40.86%	0.001	2019-01-19	-	-
SRX8171595	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8174013	428532	0	428532	0.00%	216984	216936	99.98%	1,066.0471X	700.6465X	59.6901	38.09%	0.0009	2020-03-14	-	-
SRX8378925	251708	0	251708	0.00%	142054	142050	100%	691.5948X	617.2472X	59.3946	38.39%	0.0011	2020-03-15	-	-
SRX8174014	318872	0	318872	0.00%	197085	197080	100%	967.3029X	538.7237X	59.9942	37.86%	0.0008	2020-03-15	-	-
SRX8325149	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8171592	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8052696	1425832	21957	1403875	1.54%	43737	43579	99.64%	281.9406X	267.5667X	59.8206	37.81%	0.0013	2019-01-19	-	-
SRX8155151	643234	0	643234	0.00%	12273	11006	89.68%	73.2748X	75.8924X	59.9666	38.72%	0.0012	02-Apr-2020	-	4 years
SRX8213962	326146	0	326146	0.00%	158876	158876	100%	530.3069X	406.487X	59.6727	38.13%	0.0016	2020-04	-	-
SRX8067720	406960	0	406960	0.00%	136183	136183	100%	633.7661X	1,321.4042X	31.5798	38.15%	0.0009	2020-03-27	-	-
SRX8364387	628096	0	628096	0.00%	336291	336103	99.94%	1,642.408X	970.4122X	59.9894	37.79%	0.0008	2020-04-07	-	-
SRX8287864	502436	251	502185	0.05%	258566	258506	99.98%	1,265.8873X	740.2757X	59.9939	37.91%	0.0008	2020-04-08	-	-
SRX8378946	5030	2055	2975	40.87%	2482	2276	91.7%	10.9015X	76.4402X	4.5113	41.39%	0.002	2020-04-09	-	-
SRX8067727	524524	0	524524	0.00%	283537	283526	100%	1,381.6596X	727.7424X	59.9941	37.99%	0.0008	2020-03-26	-	-
SRX8213965	343464	2472	340992	0.72%	178970	178970	100%	597.3461X	256.2656X	59.8493	37.64%	0.0008	2020-04	-	-
SRX8378941	29514	2877	26637	9.75%	16064	15502	96.5%	72.8821X	273.6076X	12.4736	39.21%	0.0038	2020-04-07	-	-
SRX8287863	589566	176	589390	0.03%	335223	335173	99.99%	1,650.4377X	983.2506X	59.9868	37.65%	0.0009	2020-04-15	-	-
SRX8067718	460456	0	460456	0.00%	247123	247091	99.99%	1,166.5311X	777.3069X	59.9881	38.2%	0.0009	2020-03-26	-	-
SRX8378948	103350	1198	102152	1.16%	64428	63838	99.08%	310.8943X	463.8679X	53.0574	38.61%	0.0025	2020-04-09	-	-
SRX8173607	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8364389	517252	0	517252	0.00%	322157	322103	99.98%	1,584.1827X	1,070.3716X	59.9886	37.8%	0.0009	2020-04-07	-	-
SRX8067711	1363496	0	1363496	0.00%	434941	434656	99.93%	2,048.0255X	1,706.5019X	59.9971	38.33%	0.0007	2020-03-19	-	-
SRX8325124	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8287855	357692	35	357657	0.01%	202208	202124	99.96%	990.0517X	606.0676X	59.8436	37.96%	0.0009	2020-04-10	-	-
SRX8067716	451568	0	451568	0.00%	283579	283571	100%	1,343.6742X	700.729X	59.9955	37.96%	0.0006	2020-03-26	-	-
SRX8213954	411472	0	411472	0.00%	201726	201726	100%	673.0957X	297.9443X	59.9842	37.76%	0.0011	2020-04	-	-
SRX8173600	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8287852	4360	33	4327	0.76%	2641	2525	95.61%	12.0899X	115.2455X	13.2331	38.95%	0.0004	2020-04-09	-	-
SRX8067729	539372	0	539372	0.00%	271425	271425	100%	1,289.9092X	870.565X	59.6874	38.25%	0.0009	2020-03-27	-	-
SRX8378970	325172	0	325172	0.00%	186458	186446	99.99%	915.2597X	560.3177X	59.6662	38.01%	0.0012	2020-03-30	-	-
SRX8325123	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8264263	1006936	0	1006936	0.00%	50615	50597	99.96%	90.791X	178.5573X	59.9886	38.73%	0.0026	21-Mar-2020	-	-
SRX8378924	162248	64	162184	0.04%	103035	102993	99.96%	505.1951X	404.6986X	59.696	38.17%	0.0013	2020-03-13	-	-
SRX8052697	2463178	81284	2381894	3.30%	50084	49281	98.4%	361.9687X	382.6571X	59.971	37.52%	0.001	2019-01-19	-	-
SRX8171593	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8174015	207780	976	206804	0.47%	97913	73166	74.73%	353.241X	804.3287X	28.7201	37.78%	0.0009	2020-03-27	-	-
SRX8325148	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8264264	1527730	0	1527730	0.00%	13184	13178	99.95%	41.648X	128.8113X	59.9758	38.5%	0.0027	19-Mar-2020	-	-
SRX8174012	290454	0	290454	0.00%	151735	151604	99.91%	743.968X	681.4078X	59.6007	38.02%	0.001	2020-03-14	-	-
SRX8155157	565198	0	565198	0.00%	12469	12438	99.75%	67.2099X	182.505X	59.6852	39.02%	0.0008	02-Apr-2020	-	4 years
SRX8171594	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8052690	1566176	1457013	109163	93.03%	50446	1779	3.53%	1.9989X	12.438X	14.91	41.28%	0.0011	2019-01-19	-	-
SRX8325146	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8174024	377324	0	377324	0.00%	251577	251574	100%	1,242.1087X	667.6076X	59.9975	37.81%	0.0007	2020-03-31	-	-
SRX8325141	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8174023	578366	0	578366	0.00%	308742	308700	99.99%	1,501.2717X	809.1769X	59.9934	37.93%	0.0008	2020-03-30	-	-
SRX8055166	351498	0	351498	0.00%	238101	238094	100%	1,181.6754X	761.9247X	59.9926	37.44%	0.0005	2020-03	-	-
SRX8237219	356226	35	356191	0.01%	208671	208631	99.98%	1,029.1288X	653.9107X	59.6867	37.74%	0.0009	2020-04-03	-	-
SRX8171611	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325830	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-05	-	-
SRX8364403	1059440	0	1059440	0.00%	408216	408113	99.97%	1,978.0625X	1,302.6265X	59.8394	38.23%	0.0009	2020-04-06	-	-
SRX8237226	270944	54	270890	0.02%	156561	156532	99.98%	772.9524X	491.8419X	59.9962	37.91%	0.0006	2020-03-31	-	-
SRX8336040	284994	11884	273110	4.17%	112916	29216	25.87%	58.7064X	77.4262X	59.8851	39.06%	0.0022	2020-03-06	-	-
SRX7777160	31724	196	31528	0.62%	32898	32852	99.86%	212.7538X	179.9546X	59.9824	39.41%	0.0017	2020-02-14	-	-
SRX8173989	213378	21	213357	0.01%	114745	114376	99.68%	558.6588X	593.9898X	58.9338	38.47%	0.0015	2020-04-02	-	-
SRX7989188	294794	29	294765	0.01%	176416	176403	99.99%	868.2551X	478.7049X	59.988	37.93%	0.0007	2020-03	-	-
SRX8336047	4559214	95287	4463927	2.09%	1093787	478928	43.79%	755.9089X	1,177.8188X	59.9876	39.51%	0.002	2020-03-06	-	-
SRX8237221	201534	322	201212	0.16%	108445	107150	98.81%	528.131X	566.0424X	59.5339	38.17%	0.0012	2020-04-04	-	-
SRX8364404	891278	0	891278	0.00%	375787	375698	99.98%	1,809.5085X	1,158.0699X	59.9911	38.19%	0.0008	2020-04-05	-	-
SRX8237228	552956	0	552956	0.00%	284390	284380	100%	1,402.4379X	823.8918X	59.9937	37.8%	0.0007	2020-04-02	-	-
SRX8173980	391986	39	391947	0.01%	223738	223718	99.99%	1,096.9424X	665.0854X	59.9935	37.97%	0.001	2020-03-31	-	-
SRX8173974	220190	22	220168	0.01%	123433	123275	99.87%	606.6206X	507.4804X	59.5324	38.11%	0.0011	2020-03-17	-	-
SRX8055168	1211084	0	1211084	0.00%	502131	502056	99.99%	2,450.1498X	1,326.7017X	59.9913	37.96%	0.001	2020-03	-	-
SRX8336071	2809102	178377	2630725	6.35%	2530667	31375	1.24%	51.9603X	248.9029X	52.2554	36.75%	0.0012	2020-03-05	-	-
SRX8237217	317590	31	317559	0.01%	206331	206275	99.97%	1,022.4437X	660.9128X	59.9372	37.57%	0.0008	2020-04-03	-	-
SRX8336049	2463970	24886	2439084	1.01%	522420	334553	64.04%	657.9995X	579.5332X	59.9144	38.62%	0.0019	2020-03-06	-	-
SRX8237210	397378	0	397378	0.00%	232468	232443	99.99%	1,145.4805X	653.9379X	59.9768	37.8%	0.0008	2020-04-03	-	-
SRX8336076	416894	54863	362031	13.16%	209897	35990	17.15%	70.7837X	82.6305X	59.8575	38.54%	0.002	2020-03-10	-	-
SRX8325839	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-31	-	-
SRX8173973	473540	0	473540	0.00%	204588	203911	99.67%	1,001.0788X	966.5819X	59.2429	38%	0.001	2020-03-16	-	-
SRX8173987	629360	62	629298	0.01%	272228	271007	99.55%	1,324.1092X	1,058.8733X	59.9799	38.36%	0.0015	2020-04-02	-	-
SRX8325435	280854	477	280377	0.17%	153872	153805	99.96%	513.3668X	248.7661X	59.9919	37.78%	0.0008	2020-04	-	-
SRX8336022	1495060	267167	1227893	17.87%	926836	57994	6.26%	88.6053X	345.4321X	59.2265	38.3%	0.0007	2020-03-10	-	-
SRX8237244	278038	0	278038	0.00%	180520	180506	99.99%	889.8727X	607.9027X	59.8379	37.58%	0.0007	2020-04-06	-	-
SRX8133069	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325852	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-05	-	-
SRX8133056	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8237243	367316	0	367316	0.00%	180515	180413	99.94%	885.6374X	726.6646X	59.6813	38.23%	0.0009	2020-04-05	-	-
SRX8325432	211796	2075	209721	0.98%	123351	123097	99.79%	411.0329X	208.6174X	59.9953	37.87%	0.0008	2020-04	-	-
SRX8336025	1019654	69540	950114	6.82%	353161	114028	32.29%	225.2379X	205.0985X	59.8448	38.47%	0.002	2020-03-10	-	-
SRX8133051	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325855	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-05	-	-
SRX8133058	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325404	104222	4033	100189	3.87%	69330	68848	99.3%	229.949X	119.3444X	59.8574	37.72%	0.0009	2020-04	-	-
SRX8133067	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325863	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-30	-	-
SRX7976147	729660	706091	23569	96.77%	28997	12	0.04%	0.0365X	0.31X	1.4106	30.92%	0.0064	Mar-2020	-	-
