Sample	Total Reads After Trimming	Hisat2 Human Mapped Reads	Hisat2 Human Unmapped Reads	Hisat2 % Human Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Collection Date	Gender	Age
ERX4659872	1527174	0	1527174	0.00%	8711	8711	100%	25.1252X	103.5401X	59.9908	39.39%	0.0011	-	-	-
ERX4591487	2004736	0	2004736	0.00%	21581	21580	100%	113.6858X	73.9879X	59.97	38.5%	0.0017	-	-	-
ERX4577068	923560	0	923560	0.00%	9834	9833	99.99%	57.0737X	36.8928X	59.9825	38%	0.0013	-	-	-
ERX4656415	723784	0	723784	0.00%	2692	2687	99.81%	10.5423X	34.689X	59.9917	38.5%	0.0013	-	-	-
ERX4636993	381144	0	381144	0.00%	2021	2021	100%	7.7526X	36.1398X	59.9907	38.44%	0.0014	-	-	-
ERX4582673	584506	0	584506	0.00%	7664	7643	99.73%	41.0694X	44.9493X	59.9902	38.25%	0.0013	-	-	-
ERX4636322	1231058	0	1231058	0.00%	9743	9740	99.97%	55.6915X	46.9216X	59.9825	38.25%	0.0015	-	-	-
ERX4582600	1128668	0	1128668	0.00%	11324	11316	99.93%	61.6438X	66.3002X	59.9579	38.27%	0.0014	-	-	-
ERX4663410	2158098	0	2158098	0.00%	10568	10562	99.94%	34.5625X	170.6039X	59.9715	39.17%	0.0016	-	-	-
ERX4591298	1267524	0	1267524	0.00%	11316	11303	99.89%	68.0859X	39.7513X	59.996	37.9%	0.0012	-	-	-
ERX4591375	1331938	0	1331938	0.00%	12465	12454	99.91%	75.1318X	39.9381X	59.9891	37.92%	0.0012	-	-	-
ERX4673034	1974990	0	1974990	0.00%	7775	7763	99.85%	24.4109X	149.0701X	59.9718	39.15%	0.002	-	-	-
ERX4663580	2380460	0	2380460	0.00%	8005	8003	99.98%	26.4527X	157.4067X	59.9879	39.09%	0.0015	-	-	-
ERX4672363	1563182	0	1563182	0.00%	7977	7977	100%	23.0737X	200.2194X	59.9914	39%	0.0012	-	-	-
ERX4656888	2120382	0	2120382	0.00%	5226	5222	99.92%	22.7174X	59.045X	59.9934	38.8%	0.0015	-	-	-
ERX4672698	1892806	0	1892806	0.00%	9515	9508	99.93%	30.6691X	152.6686X	59.9729	39.34%	0.0017	-	-	-
ERX4659579	2431318	0	2431318	0.00%	9842	9842	100%	30.3098X	128.5733X	59.9277	39.05%	0.0019	-	-	-
ERX4636352	1759592	0	1759592	0.00%	15040	15023	99.89%	86.8273X	70.2393X	59.9816	37.8%	0.0013	-	-	-
ERX4657692	831364	0	831364	0.00%	6872	6867	99.93%	17.7625X	193.019X	59.9816	39.01%	0.0012	-	-	-
ERX4656113	1120280	0	1120280	0.00%	5868	5865	99.95%	23.3633X	48.8532X	59.9694	38.7%	0.0013	-	-	-
ERX4637036	606398	0	606398	0.00%	3210	3203	99.78%	10.5807X	66.345X	59.984	38.92%	0.0013	-	-	-
ERX4656213	1252494	0	1252494	0.00%	7928	7906	99.72%	29.6909X	53.1033X	59.9396	38.74%	0.0019	-	-	-
ERX4659371	2023910	0	2023910	0.00%	4317	4317	100%	18.03X	28.6929X	59.9771	38.93%	0.0016	-	-	-
ERX4636754	542552	0	542552	0.00%	2893	2893	100%	9.1073X	41.8912X	59.9916	39.14%	0.0021	-	-	-
ERX4659265	1456204	0	1456204	0.00%	4623	4623	100%	14.9973X	51.6989X	59.988	38.92%	0.0019	-	-	-
ERX4659835	1975166	0	1975166	0.00%	7649	7649	100%	22.6354X	121.1748X	59.978	38.8%	0.0014	-	-	-
ERX4672712	1806144	0	1806144	0.00%	7200	7196	99.94%	24.872X	135.9497X	59.9916	38.64%	0.0062	-	-	-
ERX4637327	1264248	0	1264248	0.00%	5087	5083	99.92%	16.6714X	83.3161X	59.9835	38.78%	0.0017	-	-	-
ERX4673105	1420084	0	1420084	0.00%	10428	10427	99.99%	37.1353X	105.8582X	59.9605	39.81%	0.0017	-	-	-
ERX4658133	2174068	0	2174068	0.00%	9689	9674	99.85%	34.3682X	132.831X	59.9876	38.93%	0.0013	-	-	-
ERX4659131	2324618	0	2324618	0.00%	8750	8745	99.94%	28.7033X	165.0985X	59.9841	39.28%	0.0013	-	-	-
ERX4636336	2507546	0	2507546	0.00%	16678	16669	99.95%	93.2043X	95.3233X	59.9852	37.94%	0.0013	-	-	-
ERX4582491	2286336	0	2286336	0.00%	17251	17250	99.99%	96.1454X	67.9533X	59.9796	38.27%	0.0013	-	-	-
ERX4636780	649308	0	649308	0.00%	2612	2609	99.89%	9.893X	27.7259X	59.9213	38.8%	0.002	-	-	-
ERX4637106	2505260	0	2505260	0.00%	15324	15314	99.93%	35.4587X	444.6957X	59.9211	39.38%	0.001	-	-	-
ERX4577196	168488	0	168488	0.00%	2588	2584	99.85%	16.2927X	9.9811X	59.9826	38.55%	0.0012	-	-	-
ERX4656429	3878072	0	3878072	0.00%	37408	37400	99.98%	124.0009X	223.4596X	59.9545	38.88%	0.0017	-	-	-
ERX4591372	1038422	0	1038422	0.00%	11153	11153	100%	62.9636X	37.987X	59.9736	38.44%	0.0016	-	-	-
ERX4659388	1828104	0	1828104	0.00%	3786	3786	100%	13.1213X	80.3806X	59.6371	38.77%	0.0017	-	-	-
ERX4658983	1869572	0	1869572	0.00%	8633	8629	99.95%	28.0656X	161.9562X	59.9793	39.11%	0.0015	-	-	-
ERX4582336	2034446	0	2034446	0.00%	18941	18935	99.97%	103.1728X	94.9592X	59.9767	38.12%	0.0013	-	-	-
ERX4672122	1964098	0	1964098	0.00%	8329	8320	99.89%	28.308X	152.0861X	59.99	39.11%	0.0013	-	-	-
ERX4591402	1587066	0	1587066	0.00%	13671	13667	99.97%	76.7734X	45.9883X	59.9867	38.13%	0.0012	-	-	-
ERX4656041	1570862	0	1570862	0.00%	13195	13194	99.99%	45.1418X	113.6366X	59.9481	38.76%	0.0018	-	-	-
ERX4659451	1981316	0	1981316	0.00%	3912	3912	100%	15.4499X	37.9994X	59.9617	38.96%	0.0014	-	-	-
ERX4636435	748484	0	748484	0.00%	4534	4533	99.98%	11.961X	118.4874X	59.9846	39%	0.002	-	-	-
ERX4656418	2561352	0	2561352	0.00%	8509	8493	99.81%	28.9668X	106.4926X	59.6656	38.77%	0.0016	-	-	-
ERX4636346	2676962	0	2676962	0.00%	22429	22427	99.99%	127.3762X	91.7453X	59.9826	38.1%	0.0014	-	-	-
ERX4659109	1839604	0	1839604	0.00%	8640	8640	100%	28.9373X	145.0168X	59.9283	38.65%	0.0056	-	-	-
ERX4582507	1551452	0	1551452	0.00%	13910	13893	99.88%	75.294X	87.1609X	59.9907	38.08%	0.0012	-	-	-
ERX4636937	338662	0	338662	0.00%	1190	1190	100%	5.4185X	13.5645X	59.9992	38.41%	0.0038	-	-	-
ERX4582531	612576	0	612576	0.00%	7615	7594	99.72%	40.8592X	47.907X	59.9729	38.27%	0.0015	-	-	-
ERX4637306	2911792	0	2911792	0.00%	24594	24593	100%	82.6178X	205.8827X	59.9673	39%	0.0014	-	-	-
ERX4658086	615638	0	615638	0.00%	4317	4317	100%	12.8438X	99.7901X	59.9817	38.61%	0.0081	-	-	-
ERX4591470	512766	0	512766	0.00%	7343	7326	99.77%	39.9823X	38.0923X	59.9905	38.4%	0.0012	-	-	-
ERX4582454	2211290	0	2211290	0.00%	16702	16702	100%	96.0763X	53.525X	59.9861	38.3%	0.0013	-	-	-
ERX4673033	848542	0	848542	0.00%	5276	5273	99.94%	15.6512X	110.4495X	59.9793	38.5%	0.0076	-	-	-
ERX4576965	1119400	0	1119400	0.00%	10879	10879	100%	62.3347X	45.3852X	59.9855	38.22%	0.0017	-	-	-
ERX4658968	1839712	0	1839712	0.00%	7871	7871	100%	26.5872X	135.4435X	59.9761	39.13%	0.0014	-	-	-
ERX4663363	1455762	0	1455762	0.00%	5050	5026	99.52%	18.7061X	84.8763X	59.9861	39.01%	0.0018	-	-	-
ERX4582221	539180	0	539180	0.00%	6070	6045	99.59%	35.8925X	21.4611X	59.826	38.1%	0.0018	-	-	-
ERX4657345	324118	0	324118	0.00%	6567	6564	99.95%	14.8147X	186.2794X	59.5268	39.4%	0.0011	-	-	-
ERX4657027	2313314	0	2313314	0.00%	11439	11430	99.92%	37.6281X	158.8764X	59.988	38.78%	0.0013	-	-	-
ERX4704714	763688	0	763688	0.00%	3103	3101	99.94%	11.0645X	64.5808X	59.987	39.01%	0.0012	-	-	-
ERX4582669	1653906	0	1653906	0.00%	17244	17240	99.98%	99.2297X	48.2973X	59.978	38.49%	0.0014	-	-	-
ERX4591435	174500	17	174483	0.01%	2722	2713	99.67%	16.0861X	11.3114X	59.8453	38.5%	0.001	-	-	-
ERX4576964	996514	0	996514	0.00%	9421	9418	99.97%	56.3335X	32.5371X	59.9887	37.96%	0.0014	-	-	-
ERX4636316	1440612	0	1440612	0.00%	11884	11872	99.9%	64.772X	68.3769X	59.9821	38.15%	0.0015	-	-	-
ERX4657216	1978432	0	1978432	0.00%	9196	9178	99.8%	28.4X	198.2267X	59.941	38.95%	0.0016	-	-	-
ERX4659266	2062760	0	2062760	0.00%	4043	4043	100%	16.9979X	32.9761X	59.9489	38.85%	0.0014	-	-	-
ERX4656295	775700	0	775700	0.00%	5500	5499	99.98%	19.3007X	69.7224X	59.9409	38.78%	0.0016	-	-	-
ERX4582266	1766680	0	1766680	0.00%	19601	19600	99.99%	112.637X	65.1126X	59.9905	38.31%	0.0012	-	-	-
ERX4582317	2256916	0	2256916	0.00%	20004	19986	99.91%	110.7309X	63.6543X	59.9811	38.18%	0.0012	-	-	-
ERX4663423	1254756	0	1254756	0.00%	7192	7189	99.96%	21.9775X	157.5205X	59.9491	39.16%	0.0015	-	-	-
ERX4657287	1868870	0	1868870	0.00%	19672	19665	99.96%	60.8669X	238.4014X	59.9695	38.88%	0.0016	-	-	-
ERX4657160	3019408	0	3019408	0.00%	17848	17848	100%	45.3285X	399.5499X	59.9146	39.27%	0.0014	-	-	-
ERX4657631	1026898	0	1026898	0.00%	8343	8343	100%	21.618X	182.46X	59.932	39.26%	0.0019	-	-	-
ERX4636755	283608	0	283608	0.00%	2108	2108	100%	6.7143X	48.1049X	59.996	38.81%	0.0017	-	-	-
ERX4577083	641720	0	641720	0.00%	8708	8702	99.93%	48.4266X	45.7184X	59.9904	38.13%	0.0014	-	-	-
ERX4636328	686808	0	686808	0.00%	7605	7600	99.93%	43.5604X	35.5063X	59.9906	38.22%	0.0015	-	-	-
ERX4673019	1517692	0	1517692	0.00%	7487	7483	99.95%	26.7576X	109.8422X	59.9665	39.24%	0.0015	-	-	-
ERX4672809	902144	0	902144	0.00%	4165	4159	99.86%	14.5491X	85.4871X	59.9968	39.16%	0.0012	-	-	-
ERX4636729	44720	0	44720	0.00%	533	533	100%	2.4545X	6.6924X	59.0826	38.52%	0.0013	-	-	-
ERX4656924	1370644	0	1370644	0.00%	9382	9377	99.95%	25.9371X	233.1456X	59.9875	39.02%	0.0012	-	-	-
ERX4673027	2597916	0	2597916	0.00%	7654	7651	99.96%	25.1357X	164.385X	59.9943	38.94%	0.0014	-	-	-
ERX4637340	1382100	0	1382100	0.00%	6339	6336	99.95%	19.2233X	106.7898X	59.9886	38.98%	0.0012	-	-	-
ERX4582349	2215550	0	2215550	0.00%	22098	22095	99.99%	112.1923X	177.1587X	59.9902	38.11%	0.001	-	-	-
ERX4659203	1498212	0	1498212	0.00%	7617	7607	99.87%	24.0606X	147.1419X	59.9472	39.2%	0.0014	-	-	-
ERX4662411	2239332	0	2239332	0.00%	8792	8720	99.18%	35.0262X	69.4368X	59.9856	38.83%	0.0014	-	-	-
ERX4658720	1881360	0	1881360	0.00%	7142	7142	100%	24.2307X	111.8399X	59.989	39.12%	0.0013	-	-	-
ERX4591308	2398536	0	2398536	0.00%	18089	18088	99.99%	98.8073X	67.6912X	59.9898	38.35%	0.0013	-	-	-
ERX4658597	1100486	0	1100486	0.00%	5548	5547	99.98%	14.8181X	141.0729X	59.9779	38.74%	0.0015	-	-	-
ERX4658982	867954	0	867954	0.00%	5435	5433	99.96%	15.0746X	134.7723X	59.9856	38.83%	0.0014	-	-	-
ERX4656462	3531354	0	3531354	0.00%	16759	16735	99.86%	59.1559X	125.9368X	59.9681	38.61%	0.0017	-	-	-
ERX4637130	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERX4659204	1029172	0	1029172	0.00%	6172	6172	100%	21.0265X	112.1504X	59.9864	39.16%	0.0013	-	-	-
ERX4582376	407080	40	407040	0.01%	5008	4978	99.4%	30.3975X	16.4268X	59.8403	38.3%	0.0013	-	-	-
ERX4656390	1083148	0	1083148	0.00%	7545	7542	99.96%	21.4841X	144.8025X	59.9679	38.93%	0.0016	-	-	-
ERX4663491	1683520	0	1683520	0.00%	7590	7580	99.87%	23.036X	164.5688X	59.9799	38.46%	0.0077	-	-	-
ERX4637100	1131208	0	1131208	0.00%	7557	7554	99.96%	21.42X	118.7428X	59.9855	39.29%	0.0011	-	-	-
ERX4610440	1314250	0	1314250	0.00%	18191	18185	99.97%	101.502X	57.5958X	59.9851	38.3%	0.0014	-	-	-
ERX4636883	570084	0	570084	0.00%	1780	1779	99.94%	7.5284X	23.8793X	59.9966	38.67%	0.0017	-	-	-
ERX4657349	1740270	0	1740270	0.00%	7832	7828	99.95%	28.5172X	104.4495X	59.9526	39.39%	0.0016	-	-	-
ERX4591587	1333628	0	1333628	0.00%	15012	15012	100%	85.4964X	44.084X	59.9705	38.57%	0.0016	-	-	-
ERX4656347	213416	0	213416	0.00%	1651	1539	93.22%	5.6956X	23.0566X	59.9913	38.26%	0.0018	-	-	-
ERX4704732	1900104	0	1900104	0.00%	14326	14326	100%	53.2814X	82.4459X	59.9805	39.05%	0.0015	-	-	-
ERX4577041	279560	0	279560	0.00%	4962	4961	99.98%	27.8848X	23.7434X	59.9927	38.1%	0.0012	-	-	-
ERX4582170	1930182	0	1930182	0.00%	17607	17577	99.83%	92.0629X	118.3081X	59.9856	38.16%	0.0011	-	-	-
ERX4582503	535040	0	535040	0.00%	8194	8176	99.78%	41.3289X	59.421X	59.9798	38.43%	0.0013	-	-	-
ERX4636759	828114	0	828114	0.00%	4072	4071	99.98%	12.5567X	53.6792X	59.9657	39.38%	0.0021	-	-	-
ERX4577193	586880	0	586880	0.00%	8226	8222	99.95%	44.1121X	55.4283X	59.9856	38.09%	0.0011	-	-	-
ERX4591622	2405814	0	2405814	0.00%	19969	19969	100%	114.1618X	59.2023X	59.9823	38.42%	0.0013	-	-	-
ERX4657506	737166	0	737166	0.00%	4106	4093	99.68%	14.0578X	84.3806X	59.9778	39.04%	0.0016	-	-	-
ERX4663424	102204	0	102204	0.00%	790	765	96.84%	3.6551X	9.2176X	59.6722	38.46%	0.002	-	-	-
ERX4672854	1939404	0	1939404	0.00%	6082	6077	99.92%	22.7378X	96.802X	59.988	38.55%	0.0052	-	-	-
ERX4636867	531538	0	531538	0.00%	1739	1739	100%	7.8099X	14.0183X	59.9986	38.71%	0.0018	-	-	-
ERX4704736	356892	0	356892	0.00%	2146	2146	100%	7.6565X	23.7502X	59.9837	39.24%	0.0014	-	-	-
ERX4656301	1331852	0	1331852	0.00%	8147	8147	100%	27.5847X	103.8734X	59.9877	38.46%	0.0014	-	-	-
ERX4636356	2314762	0	2314762	0.00%	18799	18791	99.96%	113.5823X	62.5392X	59.9896	37.9%	0.0012	-	-	-
ERX4591532	1738494	0	1738494	0.00%	15946	15945	99.99%	88.1383X	55.2028X	59.9742	38.08%	0.0012	-	-	-
ERX4656374	375790	0	375790	0.00%	2453	2452	99.96%	8.4172X	38.3068X	59.9817	39.32%	0.0017	-	-	-
ERX4658349	1856224	0	1856224	0.00%	8201	8201	100%	21.8356X	196.5976X	59.9969	39.46%	0.0011	-	-	-
ERX4591338	789902	0	789902	0.00%	8326	8321	99.94%	49.9713X	26.7124X	59.974	37.97%	0.0012	-	-	-
ERX4673136	148548	0	148548	0.00%	6302	6237	98.97%	13.9666X	104.442X	59.6938	38.53%	0.0009	-	-	-
ERX4658287	1687176	0	1687176	0.00%	9685	9683	99.98%	25.1137X	203.9784X	59.9617	39.29%	0.0014	-	-	-
ERX4582688	1409604	0	1409604	0.00%	20914	20914	100%	118.8691X	54.6706X	59.9891	38.6%	0.0014	-	-	-
ERX4657914	1652040	0	1652040	0.00%	6095	6091	99.93%	22.7988X	85.9988X	59.9813	39.07%	0.0016	-	-	-
ERX4582227	1255312	0	1255312	0.00%	12830	12809	99.84%	70.6493X	77.9816X	59.974	38.11%	0.0011	-	-	-
ERX4637408	2946642	0	2946642	0.00%	16918	16908	99.94%	60.3028X	119.1358X	59.9928	38.78%	0.0013	-	-	-
ERX4663528	2266884	0	2266884	0.00%	10940	10926	99.87%	34.6184X	193.809X	59.9718	39.03%	0.0017	-	-	-
ERX4591393	1029488	0	1029488	0.00%	9541	9541	100%	56.3695X	31.9799X	59.9896	38.25%	0.0012	-	-	-
ERX4656197	1330302	0	1330302	0.00%	9088	9086	99.98%	33.4125X	79.6046X	59.9532	38.81%	0.0015	-	-	-
ERX4656051	1338396	0	1338396	0.00%	9982	9977	99.95%	36.2959X	80.438X	59.9684	38.81%	0.0014	-	-	-
ERX4636330	588750	0	588750	0.00%	7354	7350	99.95%	41.6498X	41.6231X	59.9765	38.07%	0.0015	-	-	-
ERX4657082	3382258	0	3382258	0.00%	15023	15011	99.92%	44.602X	255.0883X	59.9777	39.22%	0.0015	-	-	-
ERX4662631	2248210	0	2248210	0.00%	13437	13433	99.97%	49.8817X	100.3711X	59.9864	38.94%	0.0013	-	-	-
ERX4657766	892884	0	892884	0.00%	4361	4348	99.7%	17.3262X	57.3865X	59.9834	39.25%	0.0015	-	-	-
ERX4672859	366288	0	366288	0.00%	1363	1362	99.93%	6.9405X	14.2326X	59.6975	38.93%	0.0014	-	-	-
ERX4577070	69162	0	69162	0.00%	1929	1928	99.95%	11.354X	10.1194X	59.9801	38.84%	0.0018	-	-	-
ERX4695179	68096	0	68096	0.00%	429	419	97.67%	2.7598X	2.0585X	58.1936	38.54%	0.0013	-	-	-
ERX4582589	788628	0	788628	0.00%	8966	8965	99.99%	51.8608X	36.2103X	59.9865	38.15%	0.0011	-	-	-
ERX4591115	1235008	0	1235008	0.00%	12904	12894	99.92%	71.4099X	77.9598X	59.9858	37.97%	0.0011	-	-	-
ERX4673267	2439172	0	2439172	0.00%	9460	9459	99.99%	30.6579X	171.304X	59.9737	39.16%	0.0017	-	-	-
ERX4672886	1816942	0	1816942	0.00%	6439	6431	99.88%	21.2555X	135.019X	59.985	39.16%	0.0013	-	-	-
ERX4658264	1808244	0	1808244	0.00%	2971	2971	100%	12.0152X	43.5874X	59.9929	38.89%	0.0016	-	-	-
ERX4657174	2802258	0	2802258	0.00%	7869	7867	99.97%	26.2418X	138.9971X	59.8555	39.44%	0.0015	-	-	-
ERX4591099	1698714	0	1698714	0.00%	13513	13513	100%	74.2249X	81.6398X	59.9715	38.17%	0.0015	-	-	-
ERX4577076	1224414	0	1224414	0.00%	11385	11385	100%	65.3112X	45.4751X	59.989	38.27%	0.0011	-	-	-
ERX4704593	527890	0	527890	0.00%	2196	2196	100%	8.1674X	45.1646X	59.9985	39.1%	0.001	-	-	-
ERX4658335	2417986	0	2417986	0.00%	12503	12501	99.98%	37.2536X	190.6271X	59.9817	39.39%	0.0015	-	-	-
ERX4656252	1315062	0	1315062	0.00%	7664	7650	99.82%	25.7545X	108.5181X	59.8868	38.98%	0.0029	-	-	-
ERX4658463	2280126	0	2280126	0.00%	5224	5224	100%	16.5966X	108.8842X	59.9247	38.67%	0.0069	-	-	-
ERX4657121	2402586	0	2402586	0.00%	8354	8350	99.95%	28.0428X	137.1986X	59.8419	39.15%	0.0014	-	-	-
ERX4663539	2887334	0	2887334	0.00%	12368	12368	100%	42.027X	149.3363X	59.9533	39.27%	0.0016	-	-	-
ERX4577133	1190384	0	1190384	0.00%	10566	10566	100%	60.4558X	47.0032X	59.9822	38.14%	0.0014	-	-	-
ERX4658877	1828788	0	1828788	0.00%	9311	9309	99.98%	24.1044X	237.5425X	59.9156	39.13%	0.0011	-	-	-
ERX4610479	1096416	0	1096416	0.00%	12278	12239	99.68%	65.6075X	75.6616X	59.9909	38.11%	0.0017	-	-	-
ERX4656298	1633770	0	1633770	0.00%	10613	10611	99.98%	40.1821X	53.3421X	59.9515	38.69%	0.0014	-	-	-
ERX4658881	1593764	0	1593764	0.00%	8194	8194	100%	26.1952X	158.3464X	59.9888	38.98%	0.0064	-	-	-
ERX4637231	2572190	0	2572190	0.00%	9830	9824	99.94%	29.3271X	225.7877X	59.982	38.29%	0.0079	-	-	-
ERX4659761	1481368	0	1481368	0.00%	14110	14110	100%	41.5383X	114.1059X	59.9672	39.38%	0.0015	-	-	-
ERX4657246	183856	0	183856	0.00%	1022	1021	99.9%	4.8246X	13.9576X	59.9961	38.71%	0.0013	-	-	-
ERX4591483	573516	0	573516	0.00%	6959	6955	99.94%	43.0483X	20.3094X	59.9844	38.05%	0.0014	-	-	-
ERX4659353	1589528	0	1589528	0.00%	5579	5579	100%	17.6215X	71.2491X	59.9459	39.33%	0.0014	-	-	-
ERX4663587	1849824	0	1849824	0.00%	6879	6868	99.84%	22.8836X	126.8631X	59.9352	39.22%	0.0018	-	-	-
ERX4663425	1204438	0	1204438	0.00%	6966	6960	99.91%	21.5699X	142.2905X	59.9871	39.13%	0.0013	-	-	-
ERX4656080	993872	0	993872	0.00%	5981	5981	100%	17.3786X	99.2491X	59.9362	39.01%	0.0016	-	-	-
ERX4656088	1003654	0	1003654	0.00%	7877	7874	99.96%	29.3337X	62.5532X	59.9612	38.77%	0.0015	-	-	-
ERX4637102	668712	0	668712	0.00%	5629	5628	99.98%	14.7918X	114.3623X	59.9716	39.01%	0.0014	-	-	-
ERX4636541	60428	0	60428	0.00%	1199	1199	100%	3.6529X	30.6474X	58.6449	38.51%	0.0082	-	-	-
ERX4656158	282080	0	282080	0.00%	1472	1471	99.93%	5.8639X	27.8458X	59.9334	38.62%	0.0017	-	-	-
ERX4591396	216618	0	216618	0.00%	3260	3260	100%	19.8626X	12.9595X	59.9903	38.47%	0.0012	-	-	-
ERX4577093	893886	0	893886	0.00%	10798	10788	99.91%	58.5476X	56.8322X	59.9666	38.06%	0.002	-	-	-
ERX4656233	958912	0	958912	0.00%	5603	5599	99.93%	18.4706X	83.3132X	59.9308	38.76%	0.0014	-	-	-
ERX4577045	1122572	0	1122572	0.00%	10115	10115	100%	59.3187X	38.5004X	59.9926	38.05%	0.0012	-	-	-
ERX4672860	2169580	0	2169580	0.00%	11022	11015	99.94%	36.4217X	162.3766X	59.9555	39.31%	0.0019	-	-	-
ERX4576932	1929296	0	1929296	0.00%	19960	19960	100%	110.6063X	72.4632X	59.9874	38.38%	0.0014	-	-	-
ERX4658197	2727074	0	2727074	0.00%	9449	9426	99.76%	30.2362X	194.9509X	59.9946	39.13%	0.0013	-	-	-
ERX4636444	34090	0	34090	0.00%	438	304	69.41%	1.8832X	1.2353X	57.8841	38.45%	0.0019	-	-	-
ERX4590921	1498340	0	1498340	0.00%	13931	13931	100%	79.0825X	49.7793X	59.9862	38.37%	0.0013	-	-	-
ERX4663432	1221426	0	1221426	0.00%	5881	5877	99.93%	18.8791X	124.2436X	59.9924	38.9%	0.0015	-	-	-
ERX4591530	1118246	0	1118246	0.00%	10463	10463	100%	60.2792X	38.6378X	59.989	38.38%	0.0013	-	-	-
ERX4636684	222624	0	222624	0.00%	1499	1498	99.93%	5.4182X	28.5225X	59.9924	38.75%	0.0016	-	-	-
ERX4657864	2889262	0	2889262	0.00%	5473	5464	99.84%	22.626X	73.1769X	59.9785	38.79%	0.0014	-	-	-
ERX4591628	1295008	0	1295008	0.00%	12637	12637	100%	72.0152X	40.29X	59.9891	38.41%	0.0014	-	-	-
ERX4658528	2176384	0	2176384	0.00%	7858	7858	100%	21.8103X	161.816X	59.9162	39.51%	0.0013	-	-	-
ERX4577155	866858	0	866858	0.00%	10986	10986	100%	62.8772X	34.5935X	59.9786	38.49%	0.0017	-	-	-
ERX4659468	2470160	0	2470160	0.00%	6982	6982	100%	26.8881X	41.0115X	59.9399	39.06%	0.0016	-	-	-
ERX4582255	2346592	0	2346592	0.00%	20900	20883	99.92%	112.2513X	131.486X	59.9778	37.95%	0.0011	-	-	-
ERX4663350	1749146	0	1749146	0.00%	10567	10559	99.92%	34.9831X	163.8551X	59.9601	39.2%	0.0016	-	-	-
ERX4636321	1200428	0	1200428	0.00%	10473	10469	99.96%	57.7795X	53.4199X	59.98	38.23%	0.0016	-	-	-
ERX4656978	1461252	0	1461252	0.00%	7295	7282	99.82%	26.325X	119.0944X	59.9604	38.8%	0.0018	-	-	-
ERX4659101	2187882	0	2187882	0.00%	5662	5662	100%	19.3921X	116.8564X	59.982	38.6%	0.0012	-	-	-
ERX4657447	2533370	0	2533370	0.00%	13188	13181	99.95%	42.5736X	227.0523X	59.9441	38.68%	0.0061	-	-	-
ERX4591449	880270	0	880270	0.00%	9321	9319	99.98%	55.3435X	32.3554X	59.9865	38.06%	0.0014	-	-	-
ERX4582324	148120	0	148120	0.00%	2023	2019	99.8%	13.1365X	7.5881X	59.396	38.67%	0.001	-	-	-
ERX4636420	1087066	0	1087066	0.00%	8031	8031	100%	21.174X	179.6204X	59.9754	39.16%	0.0018	-	-	-
ERX4659603	1477466	0	1477466	0.00%	5033	5033	100%	17.9318X	84.4456X	59.992	38.82%	0.0013	-	-	-
ERX4656159	1054682	0	1054682	0.00%	8124	8116	99.9%	30.1655X	66.2646X	59.9657	38.69%	0.0017	-	-	-
ERX4657844	2673144	0	2673144	0.00%	7176	7099	98.93%	25.6195X	135.3789X	59.9944	38.94%	0.0013	-	-	-
ERX4656379	780208	0	780208	0.00%	3471	3471	100%	11.6859X	62.1543X	59.9441	38.67%	0.0016	-	-	-
ERX4657032	6019222	0	6019222	0.00%	16229	16205	99.85%	53.5231X	210.5468X	59.8688	39.19%	0.0015	-	-	-
ERX4672699	2094580	0	2094580	0.00%	5722	5717	99.91%	22.1521X	77.7805X	59.9875	38.97%	0.0014	-	-	-
ERX4663421	1512076	0	1512076	0.00%	3926	3926	100%	17.1758X	42.1665X	59.9825	38.91%	0.0015	-	-	-
ERX4591431	2238582	0	2238582	0.00%	16073	16071	99.99%	91.0137X	68.344X	59.9903	38.1%	0.0011	-	-	-
ERX4704382	2128330	0	2128330	0.00%	7502	7497	99.93%	23.1028X	141.9959X	59.9766	39.31%	0.0013	-	-	-
ERX4673089	2265090	0	2265090	0.00%	11034	11034	100%	33.3339X	209.7057X	59.9042	38.86%	0.0013	-	-	-
ERX4582592	2297780	0	2297780	0.00%	15748	15736	99.92%	89.8631X	60.067X	59.9915	38.23%	0.0013	-	-	-
ERX4577109	857868	0	857868	0.00%	8647	8645	99.98%	51.3072X	29.9606X	59.9892	38.03%	0.0011	-	-	-
ERX4663583	1558476	0	1558476	0.00%	12063	12058	99.96%	32.6121X	245.2057X	59.9512	39.15%	0.0013	-	-	-
ERX4636794	857822	0	857822	0.00%	4046	4046	100%	13.8311X	42.5699X	59.526	39%	0.0023	-	-	-
ERX4636350	2395004	0	2395004	0.00%	26497	26490	99.97%	147.3452X	106.1671X	59.9807	38.47%	0.0017	-	-	-
ERX4657364	1304278	0	1304278	0.00%	10156	10149	99.93%	36.6664X	108.2103X	59.989	38.5%	0.004	-	-	-
ERX4636760	776088	0	776088	0.00%	2653	2653	100%	10.4309X	29.8537X	59.9383	38.91%	0.0016	-	-	-
ERX4656053	959532	0	959532	0.00%	6581	6579	99.97%	22.5603X	93.6637X	59.982	38.79%	0.0012	-	-	-
